,id,huml,humw,ulnal,ulnaw,feml,femw,tibl,tibw,tarl,tarw,Features_mean
count,420.0,419.0,419.0,417.0,418.0,418.0,419.0,418.0,419.0,419.0,419.0,420.0
mean,209.5,64.7038424821002,4.370572792362772,69.11537170263787,3.5972488038277497,36.8724162679426,3.220883054892603,64.66282296650718,3.1823389021479733,39.22997613365151,2.930023866348452,32.063466742252444
std,121.38780828402827,53.85852738908279,2.854616534018442,58.7847749488504,2.186747492286785,19.979082278223455,2.023581417742737,37.83814455517945,2.0808273266514608,23.184313430288995,2.1856727363523163,20.895705513735216
min,0.0,9.85,1.14,14.09,1.0,11.83,0.93,5.5,0.87,7.77,0.66,8.509999999999998
25%,104.75,25.17,2.19,28.05,1.87,21.2975,1.7149999999999999,36.417500000000004,1.565,23.035,1.4249999999999998,15.999166666666666
50%,209.5,44.18,3.5,43.71,2.9450000000000003,31.130000000000003,2.52,52.120000000000005,2.49,31.74,2.23,24.63611111111111
75%,314.25,91.19,5.8100000000000005,97.52,4.77,47.120000000000005,4.135,82.87,4.255,50.25,3.5,42.73083333333334
max,419.0,420.0,17.84,422.0,12.0,117.07,11.64,240.0,11.03,175.0,14.09,152.0522222222222
